Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DOGE,9/20/2020,0.002790719,0.002793967,0.002810616,0.002765255
DOGE,9/21/2020,0.00275247,0.002791081,0.002803934,0.00272645
DOGE,9/22/2020,0.002666084,0.002772234,0.002805376,0.002573845
DOGE,9/23/2020,0.002618182,0.00260223,0.002672618,0.00257249
DOGE,9/24/2020,0.002558773,0.002642869,0.002675362,0.002525796
DOGE,9/25/2020,0.002632863,0.002542697,0.002660601,0.002502284
DOGE,9/26/2020,0.002685653,0.002627391,0.002730671,0.002605449
DOGE,9/27/2020,0.002702662,0.002735631,0.002758043,0.002679163
DOGE,9/28/2020,0.002705624,0.002703634,0.002736653,0.002664749
DOGE,9/29/2020,0.002667396,0.002696192,0.002761006,0.002649147
DOGE,9/30/2020,0.002674148,0.002626833,0.002741134,0.00260158
DOGE,10/1/2020,0.002627867,0.002644492,0.002690616,0.002604734
DOGE,10/2/2020,0.002631448,0.002624658,0.002691735,0.002562174
DOGE,10/3/2020,0.002601426,0.002627677,0.002629787,0.002531873
DOGE,10/4/2020,0.002584024,0.002595221,0.002639179,0.002577032
DOGE,10/5/2020,0.002612267,0.002592803,0.002692408,0.002586396
DOGE,10/6/2020,0.002606597,0.002615554,0.002655945,0.002594652
DOGE,10/7/2020,0.002596392,0.002628229,0.002633723,0.002571695
DOGE,10/8/2020,0.00258785,0.002593248,0.002608998,0.00255574
DOGE,10/9/2020,0.002621079,0.002588388,0.002644171,0.002542567
DOGE,10/10/2020,0.002654308,0.002611086,0.002704877,0.002572153
DOGE,10/11/2020,0.002689359,0.002656285,0.002767314,0.002639103
DOGE,10/12/2020,0.002686737,0.002647049,0.002711992,0.00263631
DOGE,10/13/2020,0.002711693,0.002686476,0.002727675,0.002616762
DOGE,10/14/2020,0.002642285,0.002680979,0.002687318,0.002629469
DOGE,10/15/2020,0.002652303,0.002649382,0.002679381,0.002619614
DOGE,10/16/2020,0.00260822,0.002640859,0.002659662,0.002547168
DOGE,10/17/2020,0.002588681,0.002588683,0.002624535,0.002532405
DOGE,10/18/2020,0.002566367,0.002606791,0.00263339,0.002549544
DOGE,10/19/2020,0.00259521,0.002591735,0.002604382,0.002568883
DOGE,10/20/2020,0.002592504,0.002594841,0.002630038,0.002565344
DOGE,10/21/2020,0.002596445,0.002606859,0.002641758,0.002561543
DOGE,10/22/2020,0.002681365,0.002574982,0.002693739,0.002561896
DOGE,10/23/2020,0.002679465,0.002595894,0.002698548,0.002592006
DOGE,10/24/2020,0.002659538,0.002651548,0.002699065,0.00261726
DOGE,10/25/2020,0.00265516,0.002633631,0.002665972,0.002606543
DOGE,10/26/2020,0.002682177,0.002641597,0.0026996,0.002608614
